Symbol,Date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,Property Plant & Equipment Net,Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
AAPL,2019-09-28,48844000000,51713000000,1.00557E+11,22926000000,4106000000,1.62819E+11,37378000000,0,1.05341E+11,19640000000,1.75697E+11,3.38516E+11,46236000000,10260000000,1.05718E+11,91807000000,1.02067E+11,5522000000,15619000000,0,1.4231E+11,2.48028E+11,40730764000,45898000000,90488000000,1.57054E+11,53223000000,0,0
AAPL,2018-09-29,25913000000,40388000000,66301000000,23186000000,3956000000,1.31339E+11,41304000000,0,1.70799E+11,6610000000,2.34386E+11,3.65725E+11,55888000000,8784000000,1.16866E+11,93735000000,1.02519E+11,7543000000,9694000000,0,1.41712E+11,2.58578E+11,35446014000,70400000000,1.07147E+11,2.11187E+11,76606000000,0,0
AAPL,2017-09-30,20289000000,53892000000,74181000000,17874000000,4855000000,1.28645E+11,33783000000,8015000000,1.94714E+11,8974000000,2.46674E+11,3.75319E+11,49049000000,6496000000,1.00814E+11,97207000000,1.03703E+11,7548000000,8407000000,0,1.71962E+11,2.41272E+11,30740799000,98330000000,1.34047E+11,2.48606E+11,83414000000,0,0
AAPL,2016-09-24,20484000000,46671000000,67155000000,15754000000,2132000000,1.06869E+11,27010000000,8620000000,1.7043E+11,10015000000,2.14817E+11,3.21686E+11,37294000000,3500000000,79006000000,75427000000,78927000000,8080000000,7700000000,0,1.4045E+11,1.93437E+11,25914834000,96364000000,1.28249E+11,2.17101E+11,58443000000,0,0
AAPL,2015-09-26,21120000000,20481000000,41601000000,16849000000,2349000000,89378000000,22471000000,9009000000,1.64065E+11,5546000000,2.01101E+11,2.90479E+11,35490000000,2500000000,80610000000,53463000000,55963000000,8940000000,6900000000,0,1.14576E+11,1.71124E+11,21837247000,92284000000,1.19355E+11,1.84546E+11,34843000000,0,0
AAPL,2014-09-27,13844000000,11233000000,25077000000,17460000000,2111000000,68531000000,20624000000,8758000000,1.30162E+11,4318000000,1.63308E+11,2.31839E+11,30196000000,6308000000,63448000000,28987000000,35295000000,8491000000,1209000000,0,61162000000,1.20292E+11,17446839000,87152000000,1.11547E+11,1.41395E+11,21451000000,0,0
AAPL,2013-09-28,14259000000,26287000000,40546000000,13102000000,1764000000,73286000000,16597000000,5756000000,1.06215E+11,3453000000,1.33714E+11,2.07E+11,22367000000,0,43658000000,16960000000,16960000000,7435000000,1200000000,0,43246000000,83451000000,0,1.04256E+11,1.23549E+11,1.32502E+11,2701000000,0,0
AAPL,2012-09-29,10746000000,18383000000,29129000000,10930000000,791000000,57653000000,15452000000,5359000000,92122000000,2583000000,1.18411E+11,1.76064E+11,21175000000,0,38542000000,0,0,5953000000,1535000000,0,21895000000,57854000000,0,1.01289E+11,1.1821E+11,1.10505E+11,-10746000000,0,0
AAPL,2011-09-24,9815000000,16137000000,25952000000,5369000000,776000000,44988000000,7777000000,4432000000,55618000000,2014000000,71383000000,1.16371E+11,14632000000,0,27970000000,0,0,4091000000,1140000000,0,13800000000,39756000000,0,62841000000,76615000000,71755000000,-9815000000,0,0
AAPL,2010-09-25,11261000000,14359000000,25620000000,5510000000,1051000000,41678000000,4768000000,1083000000,25391000000,1636000000,33505000000,75183000000,12015000000,0,20722000000,0,0,2984000000,210000000,0,8306000000,27392000000,0,37169000000,47791000000,39750000000,-11261000000,0,0
AAPL,2009-09-26,5263000000,18201000000,23464000000,5057000000,455000000,15946000000,2954000000,453000000,10528000000,1135000000,4355000000,47501000000,5601000000,0,11506000000,0,0,2906000000,0,0,4355000000,15861000000,77000000,23353000000,31640000000,28729000000,-23464000000,2579000000,5905000000
ABBV,2011-12-31,27000000,626000000,653000000,3817000000,872000000,7354000000,2144000000,9010000000,229000000,1469000000,12167000000,19521000000,5881000000,16000000,5897000000,32000000,48000000,0,0,0,1692000000,7589000000,-25000000,0,11932000000,855000000,-605000000,2012000000,0
ABBV,2010-12-31,9644000,1873621000,1883265000,3373104000,836270000,8218493000,2357563000,9888360000,137360000,2169740000,12916212000,21134705000,356784000,0,3761248000,0,0,0,0,0,1670458000,5431706000,288289000,0,15702999000,2010981000,-1883265000,2125854000,3404464000
ABT,2019-12-31,3860000000,280000000,4140000000,5425000000,4316000000,15667000000,8038000000,40225000000,883000000,3079000000,52220000000,67887000000,3252000000,1277000000,10863000000,16661000000,17938000000,294000000,226000000,0,17197000000,36799000000,0,25847000000,31088000000,1163000000,14078000000,0,8739000000
ABT,2018-12-31,3844000000,320000000,4164000000,5182000000,3796000000,14632000000,7563000000,42196000000,211000000,1868000000,52541000000,67173000000,2975000000,7000000,9012000000,19359000000,19366000000,259000000,305000000,0,20634000000,36649000000,0,24560000000,30524000000,531000000,15522000000,0,7003000000
ABT,2017-12-31,9407000000,203000000,9610000000,5249000000,3601000000,20147000000,7607000000,45493000000,883000000,1944000000,56103000000,76250000000,2402000000,508000000,8912000000,27210000000,27718000000,0,309000000,0,36856000000,45353000000,0,23978000000,30897000000,1086000000,18311000000,0,-415000000
ABT,2016-12-31,18620000000,155000000,18775000000,3248000000,2434000000,26776000000,5705000000,12222000000,2947000000,2263000000,25890000000,52666000000,1178000000,3000000,6660000000,20681000000,20684000000,0,188000000,0,27575000000,32128000000,0,25565000000,20538000000,3102000000,2064000000,0,-2107000000
ABT,2015-12-30,5001000000,1124000000,6125000000,3418000000,2599000000,14155000000,5730000000,15200000000,4041000000,4383000000,27092000000,41247000000,1081000000,3000000,9186000000,5871000000,5874000000,0,430000000,0,13489000000,20036000000,0,25757000000,21211000000,5165000000,873000000,0,-2639000000
ABT,2014-12-31,4063000000,397000000,4460000000,3586000000,2643000000,15261000000,5935000000,16265000000,229000000,1705000000,26014000000,41275000000,1064000000,55000000,10532000000,3408000000,3463000000,0,270000000,0,10701000000,19749000000,0,22874000000,21526000000,626000000,-600000000,0,-1484000000
ABT,2013-12-31,3475000000,26000000,3501000000,3986000000,2693000000,19247000000,5905000000,15507000000,0,2528000000,23706000000,42953000000,1026000000,9000000,9507000000,3388000000,3397000000,0,175000000,0,10700000000,17782000000,0,21979000000,25171000000,26000000,-78000000,0,-2425000000
ABT,2012-12-31,10802163000,4371821000,15173984000,7612860000,3792313000,31322583000,8063047000,24362412000,273595000,2986216000,35912361000,67234944000,1796990000,308823000,13280176000,18085302000,18394125000,0,655424000,0,30127752000,40513983000,0,24150996000,26720961000,4645416000,7591962000,0,-2893945000
ABT,2011-12-31,6812820000,1284539000,8097359000,7683920000,3284249000,23768774000,7873955000,25695016000,378225000,2700540000,36508119000,60276893000,1721127000,1026896000,15480228000,12039822000,13066718000,0,514947000,0,22971060000,35837060000,0,20907362000,24439833000,1662764000,6253898000,0,-2614228000
ABT,2010-12-31,3648371000,1803079000,5451450000,7184034000,3188734000,22317529000,7970956000,28081705000,302049000,3076051000,37144737000,59462266000,1535759000,2044970000,17262434000,12523517000,14568487000,0,1307723000,0,22799419000,37074131000,0,18927101000,22388135000,2105128000,10920116000,0,-2987722000
ABT,2009-12-31,9932048000,0,9932048000,6541941000,3264877000,23313891000,7619489000,19492163000,1132866000,3387356000,29267732000,52581623000,1280542000,5189620000,13049489000,11266294000,16455914000,0,442140000,0,16344738000,29394227000,854074000,17342694000,23187396000,1132866000,6523866000,3575025000,6579327000
ACN,2019-08-31,6126853000,3313000,6130166000,7467338000,0,15450601000,1391166000,0,240313000,4349464000,14339279000,29789880000,1646641000,6411000,11061896000,16247000,22658000,3188835000,378017000,0,3900293000,15380872000,5828047000,10421538000,14409008000,243626000,-6104195000,0,418683000
ACN,2018-08-31,5061360000,3192000,5064552000,4996454000,0,13585559000,1264020000,0,215532000,2086807000,10863524000,24449083000,1348802000,5337000,10151751000,19676000,25013000,2837682000,497885000,0,3572744000,14084330000,3988511000,7952413000,10364753000,218724000,-5036347000,0,359835000
ACN,2017-08-31,4126860000,3011000,4129871000,4569214000,0,12097289000,1140598000,0,211610000,2214901000,10592601000,22689890000,1525065000,2907000,9824279000,22163000,25070000,2669520000,708485000,0,3155411000,13740413000,2962406000,7081855000,8949477000,214621000,-4101790000,0,760723000
ACN,2016-08-31,4905609000,2875000,4908484000,4072180000,0,11976222000,956542000,0,198633000,2077312000,8632782000,20609004000,1280821000,2773000,8878924000,24457000,27230000,2364728000,362963000,0,3540704000,13053742000,1337022000,7879960000,7555262000,201508000,-4878379000,0,634114000
ACN,2015-08-31,4360766000,2448000,4363214000,3840920000,0,11579394000,801884000,0,45027000,1274019000,6686664000,18266058000,1151464000,1848000,8532199000,25587000,27435000,2251617000,516827000,0,3086288000,12132333000,0,13470008000,6133725000,47475000,-4333331000,0,513846000
ACN,2014-08-31,4921305000,0,4921305000,3859567000,0,11904442000,793444000,0,0,1152105000,6026010000,17930452000,1064228000,330000,8158079000,26403000,26733000,2348034000,355274000,0,3487036000,12198417000,0,11758131000,5732035000,0,-4894572000,0,553302000
ACN,2013-08-31,5631885000,0,5631885000,3333126000,0,11844178000,779675000,0,0,1018567000,5022871000,16867049000,961851000,0,8160990000,25600000,25600000,2230615000,266593000,0,3278230000,11906863000,0,10069844000,4960186000,0,-5606285000,0,467643000
ACN,2012-08-31,6640526000,0,6640526000,3080877000,0,12587931000,779494000,0,0,808765000,4077484000,16665415000,903847000,11000,8109205000,22000,33000,2275052000,253527000,0,3931782000,12519582000,0,7904242000,4145833000,0,-6640493000,0,478595000
ACN,2011-08-31,5701078000,4929000,5706007000,3236059000,0,11471183000,785231000,0,40365000,756079000,4260327000,15731510000,949250000,4419000,7906589000,0,4419000,2219270000,238003000,0,3474049000,11852559000,0,6281517000,3878951000,45294000,-5696659000,0,471921000
ACN,2010-08-31,4838292000,2987000,4841279000,2534598000,0,9563625000,659569000,0,41023000,532191000,3271628000,12835253000,885328000,143000,6567604000,1445000,1588000,1772833000,247416000,0,2992926000,9999507000,0,4634329000,2835746000,44010000,-4836704000,0,438977000
ACN,2009-08-31,4541662000,7904000,4549566000,3456281000,0,3265220000,701144000,825152000,29011000,1224890000,2630569000,12255734000,717379000,594000,6238959000,361000,955000,2261244000,1688142000,0,2630569000,8869528000,-227178000,3947129000,2835221000,36915000,-4548611000,984667000,5520986000
ABDE,2019-11-29,2650221000,1526755000,4176976000,1530000000,0,6494925000,1293015000,12411764000,0,447268000,14267475000,20762400000,209499000,3149343000,8190938000,988924000,4138267000,3377986000,55562000,0,1425205000,10232245000,0,14828562000,10530155000,1526755000,1488046000,0,616102000
ABDE,2018-11-30,1642775000,1586187000,3228962000,1315578000,0,4857039000,1075072000,12650049000,0,512487000,13911643000,18768682000,186258000,0,4301126000,4124800000,4124800000,2915974000,35709000,0,4461341000,9406568000,0,11815597000,9362114000,1586187000,2482025000,0,644101000
ABDE,2017-12-01,2306072000,3513702000,5819774000,1217968000,0,7247813000,936976000,6207219000,0,304149000,7287743000,14535556000,113538000,0,3527457000,1881421000,1881421000,2405950000,14196000,0,2375142000,6075687000,0,9573870000,8459869000,3513702000,-424651000,0,173088000
ABDE,2016-12-02,1011315000,3749985000,4761300000,833033000,0,5839774000,816264000,5820879000,0,274501000,6867340000,12707114000,88024000,0,2811635000,1902068000,1902068000,1945619000,38362000,0,2286263000,5282279000,0,8114517000,7424835000,3749985000,890753000,0,184381000
ABDE,2015-11-27,876560000,3111524000,3988084000,672006000,0,4821892000,787421000,5876888000,0,0,6904580000,11726472000,93307000,0,2213556000,1907231000,1907231000,1434200000,6165000,0,2251993000,4724892000,0,7253431000,7001580000,3111524000,1030671000,0,259343000
ABDE,2014-11-28,1117400000,2621600000,3739000000,591800000,0,4602328000,785123000,5191624000,0,95279000,6183501000,10785829000,68377000,603229000,2494435000,911086000,1514315000,1097923000,23920000,0,1384549000,4009924000,0,6924294000,6775905000,2621600000,396915000,0,130940000
ABDE,2013-11-29,834556000,2338476000,3173032000,599820000,0,4045929000,659774000,5377235000,0,102247000,6334369000,10380298000,62096000,14676000,1525648000,1499297000,1513973000,775544000,10222000,0,1989754000,3655664000,0,6928964000,6724634000,2338476000,679417000,0,140262000
ABDE,2012-11-30,1425052000,2113301000,3538353000,617233000,0,4331360000,664302000,4678295000,0,59537000,5643163000,9974523000,49759000,11217000,1271752000,1496938000,1508155000,561463000,49886000,0,1870230000,3309341000,0,7003003000,6665182000,2113301000,83103000,0,167359000
ABDE,2011-12-02,989500000,1922192000,2911692000,634373000,0,3771451000,527828000,4394743000,21045000,91963000,5219732000,8991183000,86660000,9212000,1250779000,1505096000,1514308000,476402000,42634000,0,1792884000,3208070000,0,6528735000,5783113000,1943237000,524808000,0,164407000
ABDE,2010-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
