Symbol,Date,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
AAPL,2019-09-28,12547000000,6068000000,69391000000,10495000000,-624000000,-8804000000,45896000000,-8805000000,-66116000000,-14119000000,-90976000000,0,24311000000,58896000000,0
AAPL,2018-09-29,10903000000,5340000000,77434000000,13313000000,-721000000,-18375000000,16066000000,-6500000000,-72069000000,-13712000000,-87876000000,0,5624000000,64121000000,0
AAPL,2017-09-30,10157000000,4840000000,63598000000,12795000000,-329000000,-1520000000,-46446000000,-3500000000,-32345000000,-12769000000,-17347000000,0,-195000000,50803000000,0
AAPL,2016-09-24,10505000000,4210000000,65824000000,13548000000,-297000000,-9852000000,-45977000000,-2500000000,-29227000000,-12150000000,-20483000000,0,-636000000,52276000000,0
AAPL,2015-09-26,11257000000,3586000000,81266000000,11488000000,-343000000,-20715000000,-56274000000,0,-34710000000,-11561000000,-17716000000,0,7276000000,69778000000,0
AAPL,2014-09-27,7946000000,2863000000,59713000000,9813000000,-3765000000,-26190000000,-22579000000,0,-44270000000,-11126000000,-37549000000,0,-415000000,49900000000,0
AAPL,2013-09-28,6757000000,2253000000,53666000000,9076000000,-496000000,-2543000000,-33774000000,0,-22330000000,-10564000000,-16379000000,0,3513000000,44590000000,0
AAPL,2012-09-29,3277000000,1740000000,50856000000,9402000000,-350000000,13035000000,-48227000000,0,-10081000000,-2488000000,-1698000000,0,931000000,41454000000,0
AAPL,2011-09-24,1814000000,1168000000,37529000000,7452000000,-244000000,20437000000,-40419000000,0,-8984000000,0,1444000000,0,-1446000000,30077000000,0
AAPL,2010-09-25,1027000000,879000000,18595000000,2121000000,-638000000,-11093000000,-13854000000,0,-10349000000,0,1257000000,0,5998000000,16474000000,0
AAPL,2009-09-26,734000000,710000000,10159000000,-1213000000,0,-16046000000,-17434000000,0,475000000,0,663000000,0,-6612000000,8946000000,0.1407
ABBV,2019-12-31,2064000000,430000000,13324000000,552000000,0,-2312000000,596000000,-4536000000,-629000000,-6366000000,18708000000,7000000,32635000000,12772000000,0
ABBV,2018-12-31,1771000000,421000000,13427000000,638000000,0,-14542000000,-1006000000,-6035000000,-12014000000,-5580000000,-14396000000,-39000000,-2014000000,12789000000,0
ABBV,2017-12-31,1525000000,365000000,9960000000,529000000,0,-3948000000,-274000000,-47000000,-1410000000,-4107000000,-5512000000,29000000,4203000000,9431000000,0
