Symbol,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin
AAPL,2019-09-28,2.60174E+11,0,1.61782E+11,98392000000,16217000000,18245000000,34462000000,63930000000,3576000000,65737000000,10481000000,0,0,55256000000,0,55256000000,11.97,11.89,4617834000,4648913000,3.03705403822,0.37817768109,0.293945590259,0.245720171885,0.21238094506,0.226371582095,76477000000,63930000000,55256000000,0.252665523842,0.21238094506
AAPL,2018-09-29,2.65595E+11,0,1.63756E+11,1.01839E+11,14236000000,16705000000,30941000000,70898000000,3240000000,72903000000,13372000000,0,0,59531000000,0,59531000000,12.01,11.91,4955377000,5000109000,2.74234021698,0.3834371882,0.307991490804,0.266940266195,0.224142020746,0.24142397259,81801000000,70898000000,59531000000,0.274489354092,0.224142020746
AAPL,2017-09-30,2.29234E+11,0,1.41048E+11,88186000000,11581000000,15261000000,26842000000,61344000000,2323000000,64089000000,15738000000,0,0,48351000000,0,48351000000,9.27,9.21,5217242000,5251692000,2.43140686849,0.384698604919,0.311912718009,0.267604282087,0.210924208451,0.223121351981,71501000000,61344000000,48351000000,0.279578945532,0.210924208451
AAPL,2016-09-24,2.15639E+11,0,1.31376E+11,84263000000,10045000000,14194000000,24239000000,60024000000,1456000000,61372000000,15685000000,0,0,45687000000,0,45687000000,8.35,8.31,5470820000,5500281000,2.20897805039,0.390759556481,0.327069778658,0.278354101067,0.211867983064,0.246198507691,70529000000,60024000000,45687000000,0.284605289396,0.211867983064
AAPL,2015-09-26,2.33715E+11,0,1.40089E+11,93626000000,8067000000,14329000000,22396000000,71230000000,733000000,72515000000,19121000000,0,0,53394000000,0,53394000000,9.28,9.22,5753421000,5793069000,1.99566067658,0.400599020174,0.35293840789,0.304772907173,0.228457736987,0.299591382667,82487000000,71230000000,53394000000,0.310271056629,0.228457736987
AAPL,2014-09-27,1.82795E+11,0,1.12258E+11,70537000000,6041000000,11993000000,18034000000,52503000000,384000000,53483000000,13973000000,0,0,39510000000,0,39510000000,6.49,6.45,6085572000,6122663000,1.817183144,0.385880357778,0.330692852649,0.287223392325,0.216143767609,0.274307284116,60449000000,52503000000,39510000000,0.292584589294,0.216143767609
AAPL,2013-09-28,1.7091E+11,0,1.06606E+11,64304000000,4475000000,10830000000,15305000000,48999000000,136000000,50155000000,13118000000,0,0,37037000000,0,37037000000,40.03,39.75,925331000,931662000,11.338876116,0.376244807208,0.326230179627,0.286694751624,0.216704698379,0.266227839214,55756000000,48999000000,37037000000,0.293458545433,0.216704698379
AAPL,2012-09-29,1.56508E+11,0,87846000000,68662000000,3381000000,10040000000,13421000000,55241000000,0,55763000000,14030000000,0,0,41733000000,0,41733000000,44.64,44.15,934818000,945355000,2.63181556135,0.438712398088,0.37389781992,0.35295959312,0.266650906024,0.271941370409,58518000000,55241000000,41733000000,0.356294885884,0.266650906024
AAPL,2011-09-24,1.08249E+11,0,64431000000,43818000000,2429000000,7599000000,10028000000,33790000000,0,34205000000,8283000000,0,0,25922000000,0,25922000000,28.05,27.68,924258000,936645000,0,0.404788958789,0.328908350193,0.312150689614,0.239466415394,0.307337712127,35604000000,33790000000,25922000000,0.315984443274,0.239466415394
AAPL,2010-09-25,65225000000,0,39541000000,25684000000,1782000000,5517000000,7299000000,18385000000,0,18540000000,4527000000,0,0,14013000000,0,14013000000,15.41,15.15,909461000,924712000,0,0.393775392871,0.297615944806,0.281870448448,0.214840935224,0.254350325795,19412000000,18385000000,14013000000,0.284246837869,0.214840935224
